"item_id","order_id","order_date","month_key","store_id","category","product_id","product_name","is_active","menu_price","price_band","quantity","line_revenue","distinct_products","alone_flag"
3631,1194,"2025-02-19","2025-02","BRW001","Beverage","PRD001","Espresso",1,2.95,"Cheap",2,5.90,5,0
3619,1190,"2025-09-12","2025-09","BRW003","Beverage","PRD001","Espresso",1,2.95,"Cheap",3,8.85,4,0
3564,1173,"2025-03-15","2025-03","BRW001","Beverage","PRD001","Espresso",1,2.95,"Cheap",1,2.95,5,0
3506,1153,"2025-06-22","2025-06","BRW001","Beverage","PRD001","Espresso",1,2.95,"Cheap",2,5.90,2,0
3477,1146,"2025-11-24","2025-11","BRW003","Beverage","PRD001","Espresso",1,2.95,"Cheap",3,8.85,5,0
3467,1141,"2025-10-11","2025-10","BRW003","Beverage","PRD001","Espresso",1,2.95,"Cheap",2,5.90,5,0
3463,1140,"2025-10-20","2025-10","BRW001","Beverage","PRD001","Espresso",1,2.95,"Cheap",1,2.95,4,0
3430,1131,"2025-09-12","2025-09","BRW001","Beverage","PRD001","Espresso",1,2.95,"Cheap",3,8.85,2,0
3363,1112,"2025-11-02","2025-11","BRW003","Beverage","PRD001","Espresso",1,2.95,"Cheap",3,8.85,4,0
3306,1094,"2025-05-02","2025-05","BRW002","Beverage","PRD001","Espresso",1,2.95,"Cheap",2,5.90,4,0
3305,1094,"2025-05-02","2025-05","BRW002","Beverage","PRD001","Espresso",1,2.95,"Cheap",2,5.90,4,0
3231,1072,"2025-12-03","2025-12","BRW003","Beverage","PRD001","Espresso",1,2.95,"Cheap",1,2.95,4,0
3218,1069,"2025-10-01","2025-10","BRW001","Beverage","PRD001","Espresso",1,2.95,"Cheap",3,8.85,3,0
3210,1067,"2025-06-01","2025-06","BRW003","Beverage","PRD001","Espresso",1,2.95,"Cheap",1,2.95,5,0
3200,1064,"2025-12-16","2025-12","BRW001","Beverage","PRD001","Espresso",1,2.95,"Cheap",3,8.85,1,1
3171,1056,"2026-01-09","2026-01","BRW002","Beverage","PRD001","Espresso",1,2.95,"Cheap",3,8.85,3,0
3081,1021,"2025-08-22","2025-08","BRW001","Beverage","PRD001","Espresso",1,2.95,"Cheap",1,2.95,3,0
3075,1020,"2025-09-27","2025-09","BRW002","Beverage","PRD001","Espresso",1,2.95,"Cheap",2,5.90,5,0
3063,1015,"2025-06-30","2025-06","BRW001","Beverage","PRD001","Espresso",1,2.95,"Cheap",1,2.95,3,0
2987,989,"2025-08-26","2025-08","BRW003","Beverage","PRD001","Espresso",1,2.95,"Cheap",3,8.85,4,0
2984,988,"2025-07-03","2025-07","BRW001","Beverage","PRD001","Espresso",1,2.95,"Cheap",3,8.85,4,0
2892,956,"2025-09-09","2025-09","BRW001","Beverage","PRD001","Espresso",1,2.95,"Cheap",2,5.90,4,0
2882,953,"2025-02-15","2025-02","BRW003","Beverage","PRD001","Espresso",1,2.95,"Cheap",2,5.90,4,0
